product_family,feature_flag,support_status,condition,source_id,validation_action
TAB_S,DEX_WIRED,SUPPORTED,모델별 HDMI 출력 확인,SRC003,REQUIRE_MODEL_CHECK
TAB_S_FE,DEX_WIRED,MOSTLY_UNSUPPORTED,일부 최신 모델의 별도 기능은 확인 필요,SRC003,BLOCK_UNLESS_MODEL_PROVEN
TAB_A,DEX_WIRED,MOSTLY_UNSUPPORTED,일부 최신 모델의 별도 기능은 확인 필요,SRC003,BLOCK_UNLESS_MODEL_PROVEN
S_BASE_PLUS,DEX_WIRELESS,CONDITIONAL,Miracast·세대·OS 조건,SRC003,REQUIRE_MODEL_AND_OS
S_ULTRA,DEX_WIRELESS,CONDITIONAL,Miracast·세대·OS 조건,SRC003,REQUIRE_MODEL_AND_OS
S_FE,DEX_WIRELESS,CONDITIONAL,Miracast·세대·OS 조건,SRC003,REQUIRE_MODEL_AND_OS
Z_FOLD,DEX_WIRELESS,CONDITIONAL,Miracast·세대·OS 조건,SRC003,REQUIRE_MODEL_AND_OS
TAB_S,DEX_WIRELESS,CONDITIONAL,Miracast·세대·OS 조건,SRC003,REQUIRE_MODEL_AND_OS
Z_FLIP,DEX_WIRELESS,MOSTLY_UNSUPPORTED,Z Flip7 등 일부 예외,SRC003,BLOCK_UNLESS_MODEL_PROVEN
S_BASE_PLUS,DEX_PC,LEGACY_CONDITIONAL,One UI 7 이상에서 미지원될 수 있음,SRC003,REQUIRE_OS_CHECK
S_ULTRA,DEX_PC,LEGACY_CONDITIONAL,One UI 7 이상에서 미지원될 수 있음,SRC003,REQUIRE_OS_CHECK
S_FE,DEX_PC,LEGACY_CONDITIONAL,One UI 7 이상에서 미지원될 수 있음,SRC003,REQUIRE_OS_CHECK
Z_FOLD,DEX_PC,LEGACY_CONDITIONAL,One UI 7 이상에서 미지원될 수 있음,SRC003,REQUIRE_OS_CHECK
S_ULTRA,SPEN_INPUT,SUPPORTED,Ultra 세대별 S펜 포함·호환 확인,SRC005,REQUIRE_MODEL_CHECK
Z_FOLD,SPEN_INPUT,SUPPORTED_MAIN_SCREEN_ONLY,"일부 세대, 커버 화면 미지원",SRC005,REQUIRE_MODEL_AND_SCREEN
S_BASE_PLUS,SPEN_INPUT,UNSUPPORTED,일반 모델 기준,SRC005,BLOCK
S_FE,SPEN_INPUT,UNSUPPORTED,일반 모델 기준,SRC005,BLOCK
Z_FLIP,SPEN_INPUT,UNSUPPORTED,일반 모델 기준,SRC005,BLOCK
A_SERIES,SPEN_INPUT,UNSUPPORTED,일반 모델 기준,SRC005,BLOCK
XCOVER,SPEN_INPUT,UNSUPPORTED,일반 모델 기준,SRC005,BLOCK
TAB_S,SPEN_INPUT,GENERALLY_SUPPORTED,번들·세부 모델 확인,SRC005,REQUIRE_MODEL_CHECK
TAB_S_FE,SPEN_INPUT,GENERALLY_SUPPORTED,번들·세부 모델 확인,SRC005,REQUIRE_MODEL_CHECK
TAB_A,SPEN_INPUT,MOSTLY_UNSUPPORTED,S Pen 지원 명시 모델만 허용,SRC005,BLOCK_UNLESS_MODEL_PROVEN
S_ULTRA,SPEN_BLE_AIR_ACTIONS,CONDITIONAL,S펜 세대에 따라 BLE·충전·Air Actions 미지원,SRC005,REQUIRE_PEN_MODEL
TAB_S,SPEN_BLE_AIR_ACTIONS,CONDITIONAL,S펜 세대에 따라 BLE·충전·Air Actions 미지원,SRC005,REQUIRE_PEN_MODEL
Z_FOLD,SPEN_BLE_AIR_ACTIONS,SPEN_PRO_ONLY,Fold Edition은 BLE/Air Actions 없음,SRC005,REQUIRE_PEN_MODEL
TAB_S_FE,SPEN_BLE_AIR_ACTIONS,MOSTLY_UNSUPPORTED,FE S펜은 BLE 미지원인 세대 존재,SRC005,BLOCK_UNLESS_PEN_PRO
Z_FOLD,FOLDABLE_INNER_DISPLAY,SUPPORTED,모델별 화면 구조 차이,SRC006,ALLOW
Z_FOLD,HINGE,SUPPORTED,폴더블 전용,SRC006,ALLOW
Z_FLIP,FOLDABLE_INNER_DISPLAY,SUPPORTED,모델별 화면 구조 차이,SRC006,ALLOW
Z_FLIP,HINGE,SUPPORTED,폴더블 전용,SRC006,ALLOW
S_BASE_PLUS,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
S_BASE_PLUS,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
S_ULTRA,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
S_ULTRA,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
S_FE,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
S_FE,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
A_SERIES,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
A_SERIES,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
XCOVER,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
XCOVER,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
TAB_S,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
TAB_S,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
TAB_S_FE,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
TAB_S_FE,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
TAB_A,FOLDABLE_INNER_DISPLAY,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
TAB_A,HINGE,UNSUPPORTED,폴더블 전용 기능,SRC006,BLOCK
S_BASE_PLUS,ESIM,CONDITIONAL,국가·통신사·세대·SKU별 차이,SRC008,REQUIRE_REGION_CARRIER_MODEL
S_ULTRA,ESIM,CONDITIONAL,국가·통신사·세대·SKU별 차이,SRC008,REQUIRE_REGION_CARRIER_MODEL
S_FE,ESIM,CONDITIONAL,국가·통신사·세대·SKU별 차이,SRC008,REQUIRE_REGION_CARRIER_MODEL
Z_FOLD,ESIM,CONDITIONAL,국가·통신사·세대·SKU별 차이,SRC008,REQUIRE_REGION_CARRIER_MODEL
Z_FLIP,ESIM,CONDITIONAL,국가·통신사·세대·SKU별 차이,SRC008,REQUIRE_REGION_CARRIER_MODEL
A_SERIES,ESIM,MODEL_DEPENDENT,정확한 SKU 확인,SRC008,REQUIRE_REGION_CARRIER_MODEL
XCOVER,ESIM,MODEL_DEPENDENT,정확한 SKU 확인,SRC008,REQUIRE_REGION_CARRIER_MODEL
TAB_S,ESIM,MODEL_DEPENDENT,정확한 SKU 확인,SRC008,REQUIRE_REGION_CARRIER_MODEL
TAB_S_FE,ESIM,MODEL_DEPENDENT,정확한 SKU 확인,SRC008,REQUIRE_REGION_CARRIER_MODEL
WATCH_BT,WATCH_HEALTH_SENSORS,SUPPORTED,기능·규제 승인·지역 차이,SRC019,REQUIRE_REGION_MODEL
WATCH_LTE,WATCH_HEALTH_SENSORS,SUPPORTED,기능·규제 승인·지역 차이,SRC019,REQUIRE_REGION_MODEL
WATCH_BT,CELLULAR_LTE,UNSUPPORTED,Bluetooth 모델,SRC019,BLOCK
WATCH_LTE,CELLULAR_LTE,SUPPORTED,통신사 eSIM 개통 필요,SRC019,REQUIRE_CARRIER
BUDS_BASE,BUDS_CORE_AUDIO,SUPPORTED,모델별 ANC·코덱·센서 차이,SRC020,REQUIRE_MODEL_CHECK
BUDS_PRO,BUDS_CORE_AUDIO,SUPPORTED,모델별 ANC·코덱·센서 차이,SRC020,REQUIRE_MODEL_CHECK
BUDS_FE,BUDS_CORE_AUDIO,SUPPORTED,모델별 ANC·코덱·센서 차이,SRC020,REQUIRE_MODEL_CHECK
BUDS_PRO,ANC,SUPPORTED,모델별 성능 차이,SRC020,ALLOW
BUDS_BASE,ANC,MODEL_DEPENDENT,정확한 모델 확인,SRC020,REQUIRE_MODEL_CHECK
BUDS_FE,ANC,MODEL_DEPENDENT,정확한 모델 확인,SRC020,REQUIRE_MODEL_CHECK
S_BASE_PLUS,GALAXY_AI,MODEL_OS_REGION_DEPENDENT,기기·SW 버전·언어·네트워크·처리 설정에 따라 다름,SRC027,REQUIRE_FULL_CONTEXT
S_ULTRA,GALAXY_AI,MODEL_OS_REGION_DEPENDENT,기기·SW 버전·언어·네트워크·처리 설정에 따라 다름,SRC027,REQUIRE_FULL_CONTEXT
S_FE,GALAXY_AI,MODEL_OS_REGION_DEPENDENT,기기·SW 버전·언어·네트워크·처리 설정에 따라 다름,SRC027,REQUIRE_FULL_CONTEXT
Z_FOLD,GALAXY_AI,MODEL_OS_REGION_DEPENDENT,기기·SW 버전·언어·네트워크·처리 설정에 따라 다름,SRC027,REQUIRE_FULL_CONTEXT
Z_FLIP,GALAXY_AI,MODEL_OS_REGION_DEPENDENT,기기·SW 버전·언어·네트워크·처리 설정에 따라 다름,SRC027,REQUIRE_FULL_CONTEXT
TAB_S,GALAXY_AI,MODEL_OS_REGION_DEPENDENT,기기·SW 버전·언어·네트워크·처리 설정에 따라 다름,SRC027,REQUIRE_FULL_CONTEXT
TAB_S_FE,GALAXY_AI,MODEL_OS_REGION_DEPENDENT,기기·SW 버전·언어·네트워크·처리 설정에 따라 다름,SRC027,REQUIRE_FULL_CONTEXT
